Rank,Empresa,Prioridade,Onda,Macroárea,Status,Responsável,Último contato,Próxima ação,Data próxima ação,Canal,Resultado,Observações
1,Schneider Electric,P1,Onda 1,Automação/Energia,Não iniciado,Chefia DEE,,Preparar pacote e enviar 1º contato,,Consultar empresas/contatos_brasil.tex,,
2,Equatorial Energia,P1,Onda 1,Sistemas de Energia/Smart Grid,Não iniciado,Chefia DEE,,Preparar pacote e enviar 1º contato,,Consultar empresas/contatos_brasil.tex,,
3,Vale,P1,Onda 1,Multidisciplinar/Indústria,Não iniciado,Chefia DEE,,Preparar pacote e enviar 1º contato,,Consultar empresas/contatos_brasil.tex,,
4,SEL,P1,Onda 1,Proteção/Subestações,Não iniciado,Chefia DEE,,Preparar pacote e enviar 1º contato,,Consultar empresas/contatos_brasil.tex,,
5,WEG,P1,Onda 1,Máquinas/Acionamentos,Não iniciado,Chefia DEE,,Preparar pacote e enviar 1º contato,,Consultar empresas/contatos_brasil.tex,,
6,Eneva,P1,Onda 1,Energia/Geração,Não iniciado,Chefia DEE,,Preparar pacote e enviar 1º contato,,Consultar empresas/contatos_brasil.tex,,
7,Alcoa/Alumar,P2,Onda 1,Indústria/Manutenção/Energia,Não iniciado,Chefia DEE,,Preparar pacote e enviar 1º contato,,Consultar empresas/contatos_brasil.tex,,
8,Altus,P1,Onda 1,Automação,Não iniciado,Chefia DEE,,Preparar pacote e enviar 1º contato,,Consultar empresas/contatos_brasil.tex,,
9,Intelbras,P1,Onda 1,Redes/IoT/Telecom,Não iniciado,Chefia DEE,,Preparar pacote e enviar 1º contato,,Consultar empresas/contatos_brasil.tex,,
10,Siemens,P1,Onda 1,Automação/Digitalização,Não iniciado,Chefia DEE,,Preparar pacote e enviar 1º contato,,Consultar empresas/contatos_brasil.tex,,
11,Endress+Hauser,P1,Onda 2,Instrumentação,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
12,Hitachi Energy,P2,Onda 2,Proteção/Subestações,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
13,Festo,P2,Onda 2,Pneumática/Automação,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
14,Rockwell Automation,P1,Onda 2,Automação,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
