Indicador,Período,Valor,Unidade,Fonte interna,Responsável,Data de atualização,Status
Estudantes atendidos pelos laboratórios,Ano letivo,,estudantes,Registros acadêmicos,,,A levantar
Turmas com atividades práticas,Semestre,,turmas,Coordenações de curso,,,A levantar
Disciplinas atendidas,Semestre,,disciplinas,Planos de ensino e horários,,,A levantar
Horas semanais de uso dos laboratórios,Semestre,,horas,Mapas de disponibilidade,,,A levantar
Projetos de iniciação científica,Ano,,projetos,Diretoria de pesquisa,,,A levantar
TCCs e monografias apoiados,Ano,,trabalhos,Coordenações de curso,,,A levantar
Pesquisas de mestrado e doutorado apoiadas,Ano,,pesquisas,Docentes responsáveis,,,A levantar
Projetos de extensão,Ano,,projetos,Diretoria de extensão,,,A levantar
Capacitações realizadas,Ano,,ações,Registros do DEE,,,A levantar
Pessoas capacitadas,Ano,,participantes,Listas de presença,,,A levantar
Empresas parceiras ativas,Ano,,empresas,Processos e instrumentos formais,,,A levantar
Equipamentos recebidos,Ano,,itens,Patrimônio e relatórios de recebimento,,,A levantar
Valor estimado dos apoios,Ano,,reais,Processos e termos de doação,,,A levantar
Disponibilidade média dos equipamentos,Ano,,percentual,Registros de manutenção,,,A levantar
Publicações e produtos tecnológicos,Ano,,resultados,Relatórios de pesquisa,,,A levantar
